Exact Counter:
{'e': 907, 'a': 1288, 's': 1288, 'f': 416, 'i': 468, 'r': 884, 'o': 882, 't': 453, 'c': 863, 'l': 869, 'u': 837, 'd': 428, 'n': 417}
Log2 Counter:
Trials:  10 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      e	    907	    ???	      ???	  228.0	  25.1%	  43.7%	  12.8%	    90.2%	   511.0	 1023.0	  818.2	  245.8	  307.2	  250.8	6.291e+04	
      a	   1288	    ???	      ???	  671.0	  52.1%	  60.3%	  20.6%	    71.5%	   511.0	 2047.0	  920.6	  491.5	1.126e+03	  597.1	3.565e+05	
      s	   1288	    ???	      ???	1.081e+03	  83.9%	 217.9%	  20.6%	   103.3%	   511.0	 4095.0	 1330.2	1.106e+03	2.765e+03	1.397e+03	1.95e+06	
      f	    416	    ???	      ???	  140.8	  33.8%	  69.5%	  22.8%	    89.0%	   127.0	  511.0	  370.2	  140.8	  243.2	  145.4	2.114e+04	
      i	    468	    ???	      ???	  196.4	  42.0%	 118.6%	   9.2%	   114.7%	   255.0	 1023.0	  536.6	  194.6	  486.4	  267.3	7.143e+04	
      r	    884	    ???	      ???	  407.4	  46.1%	 131.6%	  15.7%	    89.7%	   255.0	 2047.0	  792.6	  389.1	1.254e+03	  491.8	2.418e+05	
      o	    882	    ???	      ???	  688.6	  78.1%	 364.3%	  16.0%	   127.6%	   511.0	 4095.0	 1125.4	  778.2	2.97e+03	1.093e+03	1.195e+06	
      t	    453	    ???	      ???	  204.8	  45.2%	 125.8%	  12.8%	    90.2%	   127.0	 1023.0	  408.6	  204.8	  614.4	  254.7	6.488e+04	
      c	    863	    ???	      ???	  588.8	  68.2%	 137.2%	  18.5%	   121.5%	   255.0	 2047.0	 1048.6	  599.0	  998.4	  691.2	4.778e+05	
      l	    869	    ???	      ???	  450.4	  51.8%	 135.6%	  17.7%	    82.4%	   255.0	 2047.0	  715.8	  389.1	1.331e+03	  509.4	2.595e+05	
      u	    837	    ???	      ???	  907.6	 108.4%	 389.2%	  22.2%	   165.0%	   255.0	 4095.0	 1381.4	  942.1	2.714e+03	1.14e+03	1.3e+06	
      d	    428	    ???	      ???	  158.8	  37.1%	  70.3%	  19.4%	    74.5%	   127.0	  511.0	  319.0	  115.2	  192.0	  131.2	1.72e+04	
      n	    417	    ???	      ???	  167.2	  40.1%	  69.5%	  22.5%	    73.4%	   127.0	  511.0	  306.2	  122.9	  204.8	  142.5	2.032e+04	
Trials:  100 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      e	    907	    ???	      ???	  448.2	  49.4%	 351.5%	  12.8%	    97.0%	   255.0	 4095.0	  879.6	  447.7	3.215e+03	  664.9	4.421e+05	
      a	   1288	    ???	      ???	  706.2	  54.8%	 217.9%	  20.6%	   109.0%	   255.0	 4095.0	 1404.4	  734.1	2.691e+03	  908.3	8.251e+05	
      s	   1288	    ???	      ???	  554.0	  43.0%	 217.9%	  20.6%	    79.0%	   255.0	 4095.0	 1017.9	  375.2	3.077e+03	  593.8	3.526e+05	
      f	    416	    ???	      ???	  215.8	  51.9%	 392.1%	  22.8%	    98.7%	    63.0	 2047.0	  410.5	  215.3	1.636e+03	  296.2	8.776e+04	
      i	    468	    ???	      ???	  200.3	  42.8%	 118.6%	   9.2%	    97.6%	    63.0	 1023.0	  456.6	  201.0	  566.4	  261.4	6.835e+04	
      r	    884	    ???	      ???	  407.1	  46.0%	 131.6%	  15.7%	   104.0%	   127.0	 2047.0	  919.3	  402.8	1.128e+03	  528.9	2.797e+05	
      o	    882	    ???	      ???	  455.7	  51.7%	 364.3%	  16.0%	    97.6%	   127.0	 4095.0	  860.4	  453.5	3.235e+03	  618.6	3.827e+05	
      t	    453	    ???	      ???	  212.2	  46.8%	 351.9%	  12.8%	    92.3%	    63.0	 2047.0	  418.2	  210.1	1.629e+03	  292.1	8.531e+04	
      c	    863	    ???	      ???	  377.6	  43.8%	 137.2%	  18.5%	    96.1%	   127.0	 2047.0	  829.7	  377.6	1.217e+03	  475.7	2.263e+05	
      l	    869	    ???	      ???	  472.6	  54.4%	 842.6%	  17.7%	   107.4%	   255.0	 8191.0	  933.4	  475.1	7.258e+03	  889.3	7.909e+05	
      u	    837	    ???	      ???	  499.7	  59.7%	 389.2%	  22.2%	    99.9%	   255.0	 4095.0	  836.1	  499.5	3.259e+03	  706.5	4.992e+05	
      d	    428	    ???	      ???	  178.5	  41.7%	 139.0%	  19.4%	    85.0%	   127.0	 1023.0	  363.8	  163.1	  659.2	  202.7	4.108e+04	
      n	    417	    ???	      ???	  177.5	  42.6%	 145.3%	  22.5%	    94.9%	   127.0	 1023.0	  395.8	  175.4	  627.2	  218.4	4.768e+04	
Trials:  1000 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      e	    907	    ???	      ???	  459.1	  50.6%	 351.5%	  12.8%	   104.6%	   127.0	 4095.0	  948.6	  456.3	3.146e+03	  659.5	4.35e+05	
      a	   1288	    ???	      ???	  667.3	  51.8%	 535.9%	  20.6%	   103.1%	   255.0	 8191.0	 1327.9	  683.0	6.863e+03	  922.0	8.502e+05	
