Exact Counter:
{'r': 869901, 'e': 868648, 'o': 868309, 'd': 434705, 'c': 869647, 'a': 1304089, 's': 1306060, 'l': 868747, 'u': 869615, 'f': 435716, 'i': 435340, 'n': 435087, 't': 434136}
Log2 Counter:
Trials:  10000 ; Len:  10000000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	RealVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      r	 869901	    ???	      ???	4.394e+05	  50.5%	 864.3%	  20.5%	   100.3%	131071.0	8388607.0	     19	872519.1	4.395e+05	7.516e+06	6.143e+05	3.773e+11	
      e	 868648	    ???	      ???	4.256e+05	  49.0%	 865.7%	  20.7%	    98.9%	 65535.0	8388607.0	     20	858723.8	4.248e+05	7.53e+06	5.945e+05	3.534e+11	
      o	 868309	    ???	      ???	4.301e+05	  49.5%	 866.1%	  20.8%	    99.5%	131071.0	8388607.0	     20	863553.8	4.298e+05	7.525e+06	6.157e+05	3.791e+11	
      d	 434705	    ???	      ???	2.188e+05	  50.3%	 864.9%	  20.6%	    99.7%	 65535.0	4194303.0	     19	433506.5	2.187e+05	3.761e+06	3.151e+05	9.93e+10	
      c	 869647	    ???	      ???	4.294e+05	  49.4%	 864.6%	  20.6%	   100.1%	131071.0	8388607.0	     18	870448.2	4.294e+05	7.518e+06	6.091e+05	3.71e+11	
      a	1304089	    ???	      ???	6.595e+05	  50.6%	1186.5%	  19.6%	   100.4%	131071.0	16777215.0	     20	1309853.9	6.62e+05	1.547e+07	9.274e+05	8.6e+11	
      s	1306060	    ???	      ???	6.603e+05	  50.6%	 542.3%	  19.7%	   100.6%	262143.0	8388607.0	     23	1314074.4	6.637e+05	7.075e+06	9.329e+05	8.703e+11	
      l	 868747	    ???	      ???	4.331e+05	  49.9%	 865.6%	  20.7%	    99.7%	131071.0	8388607.0	     21	866358.7	4.329e+05	7.522e+06	6.164e+05	3.799e+11	
      u	 869615	    ???	      ???	4.33e+05	  49.8%	 864.6%	  20.6%	    99.7%	131071.0	8388607.0	     21	866607.7	4.328e+05	7.522e+06	5.994e+05	3.593e+11	
      f	 435716	    ???	      ???	2.15e+05	  49.3%	 862.6%	  20.3%	    99.5%	 65535.0	4194303.0	     18	433572.1	2.148e+05	3.761e+06	3.02e+05	9.122e+10	
      i	 435340	    ???	      ???	2.207e+05	  50.7%	 863.5%	  20.4%	   101.1%	 32767.0	4194303.0	     18	440151.9	2.21e+05	3.754e+06	3.172e+05	1.006e+11	
      n	 435087	    ???	      ???	2.167e+05	  49.8%	 382.0%	  20.5%	   100.4%	 65535.0	2097151.0	     18	436940.6	2.168e+05	1.66e+06	3.003e+05	9.017e+10	
      t	 434136	    ???	      ???	2.149e+05	  49.5%	 866.1%	  20.8%	    99.5%	 65535.0	4194303.0	     19	431946.8	2.147e+05	3.762e+06	2.995e+05	8.972e+10	
