Exact Counter:
{'s': 2, 'o': 1, 't': 1, 'a': 1, 'l': 1, 'c': 1, 'r': 1, 'e': 1, 'i': 1}
1/16 Counter:
Trials:  10 ; Len:  10
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      s	      2	    ???	      ???	    5.6	 280.0%	 700.0%	 100.0%	   240.0%	       0	     16	    4.8	   6.72	   11.2	  7.332	  53.76	
      o	      1	    ???	      ???	    2.4	 240.0%	1500.0%	 100.0%	   160.0%	       0	     16	    1.6	   2.88	   14.4	    4.8	  23.04	
      t	      1	    ???	      ???	    2.4	 240.0%	1500.0%	 100.0%	   160.0%	       0	     16	    1.6	   2.88	   14.4	    4.8	  23.04	
      a	      1	    ???	      ???	    1.0	 100.0%	 100.0%	 100.0%	     0.0%	       0	      0	    0.0	    0.0	    0.0	    0.0	    0.0	
      l	      1	    ???	      ???	    1.0	 100.0%	 100.0%	 100.0%	     0.0%	       0	      0	    0.0	    0.0	    0.0	    0.0	    0.0	
      c	      1	    ???	      ???	    1.0	 100.0%	 100.0%	 100.0%	     0.0%	       0	      0	    0.0	    0.0	    0.0	    0.0	    0.0	
      r	      1	    ???	      ???	    1.0	 100.0%	 100.0%	 100.0%	     0.0%	       0	      0	    0.0	    0.0	    0.0	    0.0	    0.0	
      e	      1	    ???	      ???	    1.0	 100.0%	 100.0%	 100.0%	     0.0%	       0	      0	    0.0	    0.0	    0.0	    0.0	    0.0	
      i	      1	    ???	      ???	    2.4	 240.0%	1500.0%	 100.0%	   160.0%	       0	     16	    1.6	   2.88	   14.4	    4.8	  23.04	
Trials:  100 ; Len:  10
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      s	      2	    ???	      ???	   4.32	 216.0%	1500.0%	 100.0%	   152.0%	       0	     32	    3.0	  4.986	  28.96	  6.672	  44.52
      o	      1	    ???	      ???	   1.84	 184.0%	1500.0%	 100.0%	    96.0%	       0	     16	    1.0	  1.805	  15.04	    3.8	  14.44
      t	      1	    ???	      ???	   1.98	 198.0%	1500.0%	 100.0%	   112.0%	       0	     16	    1.1	  2.083	  14.88	  4.082	  16.67
      a	      1	    ???	      ???	   1.56	 156.0%	1500.0%	 100.0%	    64.0%	       0	     16	    0.6	  1.229	  15.36	  3.135	   9.83
      l	      1	    ???	      ???	    1.7	 170.0%	1500.0%	 100.0%	    80.0%	       0	     16	    0.8	   1.52	   15.2	  3.487	  12.16
      c	      1	    ???	      ???	    1.7	 170.0%	1500.0%	 100.0%	    80.0%	       0	     16	    0.8	   1.52	   15.2	  3.487	  12.16
      r	      1	    ???	      ???	   1.84	 184.0%	1500.0%	 100.0%	    96.0%	       0	     16	    1.0	  1.805	  15.04	    3.8	  14.44
      e	      1	    ???	      ???	   1.98	 198.0%	1500.0%	 100.0%	   112.0%	       0	     16	    1.1	  2.083	  14.88	  4.082	  16.67
      i	      1	    ???	      ???	    1.7	 170.0%	1500.0%	 100.0%	    80.0%	       0	     16	    0.8	   1.52	   15.2	  3.487	  12.16
Trials:  1000 ; Len:  10
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      s	      2	    ???	      ???	   3.76	 188.0%	1500.0%	 100.0%	   116.0%	       0	     32	    2.3	   3.99	  29.68	  5.856	   34.3	
      o	      1	    ???	      ???	   1.84	 184.0%	1500.0%	 100.0%	    96.0%	       0	     16	    1.0	  1.805	  15.04	    3.8	  14.44	
      t	      1	    ???	      ???	  1.966	 196.6%	1500.0%	 100.0%	   110.4%	       0	     16	    1.1	  2.056	   14.9	  4.055	  16.45	
      a	      1	    ???	      ???	  1.812	 181.2%	1500.0%	 100.0%	    92.8%	       0	     16	    0.9	  1.748	  15.07	   3.74	  13.99	
      l	      1	    ???	      ???	  1.798	 179.8%	1500.0%	 100.0%	    91.2%	       0	     16	    0.9	   1.72	  15.09	  3.709	  13.76	
      c	      1	    ???	      ???	  1.896	 189.6%	1500.0%	 100.0%	   102.4%	       0	     16	    1.0	  1.917	  14.98	  3.916	  15.34	
      r	      1	    ???	      ???	  1.784	 178.4%	1500.0%	 100.0%	    89.6%	       0	     16	    0.9	  1.692	   15.1	  3.679	  13.53	
      e	      1	    ???	      ???	  1.952	 195.2%	1500.0%	 100.0%	   108.8%	       0	     16	    1.1	  2.028	  14.91	  4.028	  16.22	
      i	      1	    ???	      ???	  1.812	 181.2%	1500.0%	 100.0%	    92.8%	       0	     16	    0.9	  1.748	  15.07	   3.74	  13.99	
Trials:  10000 ; Len:  10
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      s	      2	    ???	      ???	   3.52	 176.0%	1500.0%	 100.0%	   100.4%	       0	     32	    2.0	  3.526	  29.99	  5.472	  29.94	
