Exact Counter:
{'l': 884, 's': 1257, 't': 416, 'o': 833, 'a': 1314, 'r': 878, 'n': 480, 'e': 849, 'c': 879, 'u': 865, 'f': 461, 'd': 420, 'i': 464}
1/16 Counter:
Trials:  10 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      l	    884	    ???	      ???	  112.0	  12.7%	  33.9%	   2.3%	   103.9%	     768	   1184	  918.4	  113.3	  265.6	  135.6	1.839e+04	
      s	   1257	    ???	      ???	  117.0	   9.3%	  23.5%	   0.6%	    98.3%	    1008	   1552	 1235.2	  115.2	  316.8	  147.8	2.185e+04	
      t	    416	    ???	      ???	   30.4	   7.3%	  19.2%	   0.0%	    96.5%	     336	    448	  401.6	  27.52	   65.6	   33.9	1.149e+03	
      o	    833	    ???	      ???	   94.2	  11.3%	  24.8%	   1.8%	   101.2%	     672	   1040	  843.2	  92.16	  196.8	  111.8	1.25e+04	
      a	   1314	    ???	      ???	  118.8	   9.0%	  19.3%	   1.4%	    99.8%	    1136	   1568	 1312.0	  118.4	  256.0	  135.6	1.838e+04	
      r	    878	    ???	      ???	  103.6	  11.8%	  25.3%	   1.6%	    96.0%	     656	   1008	  843.2	  101.8	  187.2	  115.2	1.326e+04	
      n	    480	    ???	      ???	   48.0	  10.0%	  20.0%	   3.3%	   102.7%	     432	    576	  492.8	   48.0	   83.2	  52.48	2.755e+03	
      e	    849	    ???	      ???	   72.2	   8.5%	  19.0%	   0.1%	    98.2%	     688	    992	  833.6	   72.0	  158.4	   84.8	7.191e+03	
      c	    879	    ???	      ???	  104.4	  11.9%	  31.1%	   3.5%	   103.9%	     656	   1152	  913.6	   91.2	  257.6	  126.7	1.605e+04	
      u	    865	    ???	      ???	   68.6	   7.9%	  14.7%	   1.7%	   101.9%	     768	    992	  881.6	  65.92	  113.6	  77.88	6.065e+03	
      f	    461	    ???	      ???	   63.4	  13.8%	  28.4%	   6.3%	   100.0%	     384	    592	  460.8	  63.36	  131.2	  70.04	4.905e+03	
      d	    420	    ???	      ???	   56.8	  13.5%	  37.1%	   1.0%	   103.2%	     320	    576	  433.6	  59.52	  142.4	  72.78	5.297e+03	
      i	    464	    ???	      ???	   43.2	   9.3%	  27.6%	   0.0%	   104.5%	     416	    592	  484.8	  45.12	  107.2	  55.91	3.126e+03	
Trials:  100 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      l	    884	    ???	      ???	  95.84	  10.8%	  33.0%	   0.5%	    99.3%	     592	   1168	  877.8	  95.81	  290.2	  120.9	1.461e+04	
      s	   1257	    ???	      ???	  110.9	   8.8%	  33.8%	   0.6%	    99.1%	     832	   1584	 1246.1	  111.3	  414.1	  139.7	1.951e+04	
