Exact Counter:
{'s': 1303869, 'r': 870229, 'l': 868835, 'c': 868685, 'a': 1305121, 'u': 871284, 'e': 869785, 'n': 434848, 'o': 869543, 'i': 434355, 't': 434847, 'f': 434864, 'd': 433735}
1/16 Counter:
Trials:  10000 ; Len:  10000000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      s	1303869	    ???	      ???	3.502e+03	   0.3%	   1.4%	   0.0%   100.0%	 1286336	1322736	1303803.9	3.501e+03	1.893e+04	4.388e+03	1.926e+07	
      r	 870229	    ???	      ???	2.848e+03	   0.3%	   1.6%	   0.0%   100.0%	  856432	 882960	870196.9	2.848e+03	1.376e+04	3.567e+03	1.272e+07	
      l	 868835	    ???	      ???	2.915e+03	   0.3%	   1.6%	   0.0%   100.0%	  855264	 882560	868891.3	2.914e+03	1.367e+04	3.663e+03	1.342e+07	
      c	 868685	    ???	      ???	2.845e+03	   0.3%	   1.6%	   0.0%   100.0%	  854432	 881408	868707.2	2.845e+03	1.428e+04	3.553e+03	1.263e+07	
      a	1305121	    ???	      ???	3.576e+03	   0.3%	   1.2%	   0.0%   100.0%	 1289488	1321312	1305183.7	3.576e+03	1.613e+04	4.476e+03	2.004e+07	
      u	 871284	    ???	      ???	2.907e+03	   0.3%	   1.8%	   0.0%   100.0%	  855472	 884448	871284.4	2.907e+03	1.581e+04	3.648e+03	1.331e+07	
      e	 869785	    ???	      ???	2.905e+03	   0.3%	   1.6%	   0.0%   100.0%	  856224	 882416	869772.8	2.905e+03	1.355e+04	3.64e+03	1.325e+07	
      n	 434848	    ???	      ???	2.056e+03	   0.5%	   2.2%	   0.0%   100.0%	  425856	 444576	434807.2	2.057e+03	9.769e+03	2.573e+03	6.621e+06	
      o	 869543	    ???	      ???	2.902e+03	   0.3%	   1.8%	   0.0%   100.0%	  856416	 884992	869542.5	2.902e+03	1.545e+04	3.612e+03	1.305e+07	
      i	 434355	    ???	      ???	2.055e+03	   0.5%	   2.1%	   0.0%   100.0%	  425040	 443680	434365.0	2.055e+03	9.325e+03	2.572e+03	6.614e+06	
      t	 434847	    ???	      ???	2.047e+03	   0.5%	   2.4%	   0.0%   100.0%	  425888	 445376	434826.5	2.047e+03	1.055e+04	2.56e+03	6.552e+06	
      f	 434864	    ???	      ???	2.069e+03	   0.5%	   2.4%	   0.0%   100.0%	  424320	 444128	434879.4	2.069e+03	1.056e+04	2.586e+03	6.686e+06	
      d	 433735	    ???	      ???	2.037e+03	   0.5%	   2.2%	   0.0%   100.0%	  424960	 443216	433704.8	2.037e+03	9.511e+03	2.56e+03
